Nombre;Tipo de evento;Fecha inicio evento;Lenguajes del evento;Nombre lugar;Municipio;Pais
Kibubu;Actividad infantil;29/04/2018;Espanyol;Pabellon 6;Bilbao;Espanya
Kidam Magoa: Aroa eta mirariak;Actividad infantil;26/02/2018;Euskera;Centro Municipal de Basurto;Bilbao;Espanya
Kiki pailazoa: Txondatatxondai dibertsio eta jai;Actividad infantil;17/02/2018;Euskera;Centro Municipal de Deusto;Bilbao;Espanya
Kiki, Koko eta Moko pailazoak: Chondatachon que diversion;Actividad infantil;17/03/2018;Euskera;Centro Municipal de Deusto;Bilbao;Espanya
Kiki, Koko eta Moko pailazoak: Chondatachon que diversion;Actividad infantil;23/02/2018;Euskera;Jesus Maria Ikastetxe Publikoa;Bilbao;Espanya
Kilian Jornet. Path to Everest;Proyeccion audiovisual;01/03/2018;Espanyol;Teatro Campos Eliseos;Bilbao;Espanya
Kinga Glyk;Concierto;15/04/2018;Espanyol;Sala BBK;Bilbao;Espanya
Knock Knock Jokes (Rock/Blues/R&B);Concierto;07/04/2018;Ingles;Haceria Arteak;Bilbao;Espanya
Koban + Anita Parker;Concierto;09/06/2018;Euskera;Iralako Txosnaguena;Bilbao;Espanya
Koloreetako ipuinak, sesion de cuenta cuentos de la mano de Autumautu;Actividad infantil;10/06/2018;Euskera;BIRA KULTUR GUNEA (BIBA!);Bilbao;Espanya
Koma;Concierto;31/10/2018;Espanyol;Bilboko Kafe Antzokia;Bilbao;Espanya
Koma;Concierto;03/11/2018;Espanyol;Bilboko Kafe Antzokia;Bilbao;Espanya
Koma;Concierto;02/11/2018;Espanyol;Bilboko Kafe Antzokia;Bilbao;Espanya
Kontu Kontari;Actividad infantil;27/12/2018;Euskera / Espanyol;AZ Azkuna Zentroa;Bilbao;Espanya
Kontukantari;Actividad infantil;29/03/2018;Euskera;AZ Azkuna Zentroa;Bilbao;Espanya
Kontukantari 2. Mendian ibiltari;Teatro;30/03/2018;Euskera;AZ Azkuna Zentroa;Bilbao;Espanya
Korri eta Xalto: Show berria prestatzen;Actividad infantil;21/12/2018;Euskera;Biblioteca de Bilbao (Zurbaranbarri);Bilbao;Espanya
Korrontzi Benefic;Concierto;04/01/2018;Euskera;Teatro Campos Eliseos;Bilbao;Espanya
Korterraza Araba 2018 (Zuhatzu Kuartango);Proyeccion audiovisual;28/07/2018;Espanyol;Piscinas municipales (Zuhatzu Kuartango);Kuartango;Espanya
Kosmo-polita, exposicion fotografica de Mauro Saravia;Exposicion;18/12/2018;Espanyol;Centro Municipal de Abando (Barrainkua);Bilbao;Espanya
Kuba eguna (2ª edicion);otros;15/12/2018;Espanyol;Arriaga Plaza;Bilbao;Espanya
Kultur Gabonak 2018-2019;otros;28/11/2018;Espanyol;;Bilbao;Espanya
Kultur Gabonak 2018-2019: (Castanyos y Uribarri);otros;11/12/2018;Espanyol;;Bilbao;Espanya
Kultur Gabonak 2018-2019: (Deusto);otros;10/12/2018;Espanyol;Centro Municipal de Deusto;Bilbao;Espanya
Kultur Gabonak 2018-2019: (Rekalde);otros;14/12/2018;Espanyol;Centro Municipal de Rekalde;Bilbao;Espanya
Kultur Gabonak 2018-2019: (Santutxu);otros;29/11/2018;Espanyol;Centro Municipal de Santutxu;Bilbao;Espanya
Kurdistan begiratuz: III Ciclo de Cine y Documental Kurdo;Proyeccion audiovisual;05/11/2018;Euskera / Espanyol;Bilborock;Bilbao;Espanya
Kurt Baker Combo;Concierto;18/05/2018;Ingles;Crazy Horse Aretoan;Bilbao;Espanya
Kutxa Beltza: Eleonore Fourniau;Concierto;25/03/2018;Espanyol;Bilboko Kafe Antzokia;Bilbao;Espanya
Kutxa Beltza: Mikel Uraken;Concierto;19/04/2018;Euskera;Bilboko Kafe Antzokia;Bilbao;Espanya
Kutxa Beltza: Sven Hammond;Concierto;17/04/2018;Ingles;Bilboko Kafe Antzokia;Bilbao;Espanya
Kutxa Beltza: The Yawpers;Concierto;13/04/2018;Ingles;Bilboko Kafe Antzokia;Bilbao;Espanya
Kvelertak;Concierto;04/02/2018;Ingles;Bilboko Kafe Antzokia;Bilbao;Espanya
Là;Danza;28/10/2018;Espanyol;Pabellon 6;Bilbao;Espanya
La ambientacion como recurso dramatico, conferencia de Mikel Aramburuzabala;Conferencia;10/10/2018;Espanyol;La Fundicion;Bilbao;Espanya
La banda del abuelo;Concierto;17/06/2018;Euskera;Xake Espazioa;Bilbao;Espanya
La Bohème;Teatro;20/10/2018;Espanyol;Palacio Euskalduna;Bilbao;Espanya
La calle en Bilbao, con rostro de mujer;Exposicion;18/06/2018;Espanyol;Centro Municipal de Rekalde;Bilbao;Espanya
La calle en Bilbao, con rostro de mujer;Exposicion;01/06/2018;Espanyol;Centro Municipal de Ibaiondo (Palacio Yohn - La Bolsa);Bilbao;Espanya
La calle en Bilbao, con rostro de mujer;Exposicion;02/05/2018;Espanyol;Centro Municipal de San Ignacio (Ibarrekolanda Merkatua);Bilbao;Espanya
La calle en Bilbao, con rostro de mujer;Exposicion;17/05/2018;Espanyol;Centro Municipal de Begonya;Bilbao;Espanya
La ciudad si es para mi 2018;Festivales (Gazteinformazioa);25/05/2018;Espanyol;Haceria Arteak;Bilbao;Espanya
La conducta de los animales;Danza;03/03/2018;Espanyol;La Fundicion;Bilbao;Espanya
La danza como herramienta, taller con Cesc Gelabert;Curso-taller;13/11/2018;Espanyol;Bizkaia Aretoa;Bilbao;Espanya
La edad de la ira;Teatro;04/03/2018;Espanyol;Teatro Arriaga;Bilbao;Espanya
La Famiglia Toronbole;Actividad infantil;17/06/2018;Euskera;Zurbaran (Panera plaza);Bilbao;Espanya
La Famiglia Toronbole;Actividad infantil;23/06/2018;Euskera;San Adrian (La Floresta parkea);Bilbao;Espanya
La Familia Adams. El musical;Teatro;16/08/2018;Espanyol;Palacio Euskalduna;Bilbao;Espanya
La favorita de (H)EMEN: El Piano;Proyeccion audiovisual;22/12/2018;Espanyol;Museo de Bellas Artes de Bilbao;Bilbao;Espanya
La favorita de Jose Julian Bakedano: Fellini, ocho y medio;Proyeccion audiovisual;24/11/2018;Espanyol;Museo de Bellas Artes de Bilbao;Bilbao;Espanya
La fin demain;Teatro;05/07/2018;Espanyol;Plaza Arriaga;Bilbao;Espanya
La fin demain;Teatro;06/07/2018;Espanyol;Arenal;Bilbao;Espanya
La Fuga + Nebraska;Concierto;24/02/2018;Espanyol;Bilboko Kafe Antzokia;Bilbao;Espanya
La Gama Quebrada, exposicion de Karlos Pellitero Alonso;Exposicion;21/06/2018;Espanyol;Galeria Juan Manuel Lumbreras;Bilbao;Espanya
La Gaviota;Teatro;19/12/2018;Espanyol;Pabellon 6;Bilbao;Espanya
La gran depresion;Teatro;10/06/2018;Espanyol;Pabellon 6;Bilbao;Espanya
La gran depresion;Teatro;09/11/2018;Espanyol;Centro Municipal de Begonya;Bilbao;Espanya
La Ley de Mantua;Concierto;09/06/2018;Espanyol;Cotton Club;Bilbao;Espanya
La linea recta no es la mas corta;Exposicion;15/02/2018;Espanyol;AZ Azkuna Zentroa;Bilbao;Espanya
La llamada  (Sing-Along);Proyeccion audiovisual;19/01/2018;Espanyol;Teatro Campos Eliseos;Bilbao;Espanya
La mas bella (creacion de revistas experimentales);Curso-taller;18/09/2018;Espanyol;Biblioteca Foral de Bizkaia;Bilbao;Espanya
La mecanica del cuento;Curso-taller;14/09/2018;Espanyol;AZ Azkuna Zentroa;Bilbao;Espanya
La mujer loba, y otros cuentos de seres maravillosos;Teatro;24/02/2018;Espanyol;Funicular de Artxanda;Bilbao;Espanya
La Musica Me Divierte 2018 - Ciclo de conciertos didacticos;Concierto;04/05/2018;Espanyol;Centro Municipal de Abando (Barrainkua);Bilbao;Espanya
La Ninya Hilo;Concierto;05/05/2018;Euskera;Cotton Club;Bilbao;Espanya
La Ninya Hilo + Ni;Concierto;05/05/2018;Euskera;Cotton Club;Bilbao;Espanya
La noche de las ideas. La imaginacion al poder, conferencia sobre el pensamiento contemporaneo;Conferencia;25/01/2018;Espanyol;Bizkaia Aretoa;Bilbao;Espanya
La nuit des idees 2018 (La Noche de las ideas 2018);otros;23/01/2018;Espanyol;AZ Azkuna Zentroa;Bilbao;Espanya
La otra;Concierto;20/10/2018;Espanyol;Cotton Club;Bilbao;Espanya
La Parade Imperiale du Kirikistan;Concierto;02/07/2018;Espanyol;Parque Donya Casilda;Bilbao;Espanya
La Parade Imperiale du Kirikistan;Concierto;03/07/2018;Espanyol;Parque Donya Casilda;Bilbao;Espanya
La Parade Imperiale du Kirikistan;Concierto;04/07/2018;Espanyol;Parque Donya Casilda;Bilbao;Espanya
La Patrulla Canina ¡en vivo! - Carrera al rescate;Actividad infantil;02/01/2018;Espanyol;Palacio Euskalduna;Bilbao;Espanya
La Pegatina;Concierto;23/08/2018;Espanyol;Abandoibarra;Bilbao;Espanya
La Pegatina;Concierto;11/04/2018;Espanyol;Bilboko Kafe Antzokia;Bilbao;Espanya
La pequenya bella durmiente, tu primera opera;Actividad infantil;07/04/2018;Espanyol;Teatro Campos Eliseos;Bilbao;Espanya
La Prudencia;Teatro;24/11/2018;Espanyol;Centro Municipal de Buia;Bilbao;Espanya
La realidad aumentada: como generar un espacio escenico mediante imagenes;Jornada;19/10/2018;Espanyol;Centro Municipal de Ibaiondo (Palacio Yohn - La Bolsa);Bilbao;Espanya
La revolucion de los contenidos digitales en las ICC, como puede beneficiar a mi empresa?;Jornada;14/12/2018;Espanyol;Palacio Euskalduna;Bilbao;Espanya
La siliconizacion del mundo, encuentro con eric Sadin;Conferencia;02/10/2018;Espanyol;Bidebarrieta Kulturgunea;Bilbao;Espanya
La soledad del angel de la guarda (cancelado);Teatro;02/10/2018;Espanyol;Teatro Arriaga;Bilbao;Espanya
La Ternura;Teatro;12/01/2018;Espanyol;Teatro Arriaga;Bilbao;Espanya
La trampa mortal;Teatro;07/11/2018;Espanyol;Centro Municipal de otxarkoaga;Bilbao;Espanya
La Traviata;Teatro;24/03/2018;Italiano;Palacio Euskalduna;Bilbao;Espanya
La Txirla Andalusi;Teatro;02/12/2018;Espanyol;Haceria Arteak;Bilbao;Espanya
La Venta de Borja (vs. canciones de cine quinqui de los 80);Concierto;17/05/2018;Espanyol;Bilboko Kafe Antzokia;Bilbao;Espanya
La vida a palos;Teatro;28/06/2018;Espanyol;Teatro Campos Eliseos;Bilbao;Espanya
La vida a palos;Teatro;29/06/2018;Espanyol;Teatro Campos Eliseos;Bilbao;Espanya
Laburbira 2018;Proyeccion audiovisual;28/02/2018;Euskera;Herriz herri;Bilbao;Espanya
Lagun artean kantari (con Anje Duhalde);Concierto;25/04/2018;Euskera;Bilboko Kafe Antzokia;Bilbao;Espanya
Lagun artean kantari (con Anje Duhalde);Concierto;21/02/2018;Euskera;Bilboko Kafe Antzokia;Bilbao;Espanya
Lagun artean kantari (con Anje Duhalde);Concierto;17/01/2018;Euskera;Bilboko Kafe Antzokia;Bilbao;Espanya
Lagun artean kantari: Anje Duhalde;Concierto;22/10/2018;Euskera;Bilboko Kafe Antzokia;Bilbao;Espanya
Lagun artean kantari: Anje Duhalde;Concierto;23/05/2018;Euskera;Bilboko Kafe Antzokia;Bilbao;Espanya
Lai Hung-chung: Birdy;Danza;29/06/2018;Espanyol;Bizkaia Aretoa;Bilbao;Espanya
Lambe Lambe Teatro en miniatura: Cajita + Pachamama + La trampa + Entre dos;Teatro;20/10/2018;Espanyol;Sala Kontainer;Bilbao;Espanya
LAN 2018 - Festival Audiovisual obrero;Festivales (Gazteinformazioa);21/11/2018;Espanyol;;Bilbao;Espanya
Långfinger;Concierto;13/03/2018;Ingles;La Nube Cafe Teatro;Bilbao;Espanya
Lapido (Concierto benefico a favor de Walk on Project);Concierto;07/04/2018;Espanyol;Sala BBK;Bilbao;Espanya
Lara Larika;Actividad infantil;31/01/2018;Euskera;Centro Municipal de Rekalde;Bilbao;Espanya
Larry Bird + Nazca;Concierto;02/06/2018;Espanyol;Shake! aretoa;Bilbao;Espanya
Las amistades de Gertrudis;Teatro;18/11/2018;Espanyol;Haceria Arteak;Bilbao;Espanya
Las amistades de Gertrudis;Teatro;11/11/2018;Espanyol;Haceria Arteak;Bilbao;Espanya
Las amistades de Gertrudis;Teatro;04/11/2018;Espanyol;Haceria Arteak;Bilbao;Espanya
Las Chillers + Laikasister Dj;Concierto;22/06/2018;Espanyol;Bilboko Kafe Antzokia;Bilbao;Espanya
Las Gallegas;Teatro;23/03/2018;Espanyol;Centro Municipal de Rekalde;Bilbao;Espanya
Las obras que nunca hice, exposicion de Ikerne Gimenez;Exposicion;12/03/2018;Espanyol;DANTZERTI. Escuela Superior de Arte Dramatico y Danza de Euskadi;Bilbao;Espanya
Las plumas;Proyeccion audiovisual;27/02/2018;Espanyol;AZ Azkuna Zentroa;Bilbao;Espanya
Laura Freixas: Sylvia Plath, se puede ser mujer y genio?;Conferencia;07/03/2018;Espanyol;Sala de Exposiciones ondare;Bilbao;Espanya
Le Ginger Brass Experiment;Concierto;06/07/2018;Espanyol;Museo Vasco;Bilbao;Espanya
Le jour se lève;Teatro;24/05/2018;Euskera;La Fundicion;Bilbao;Espanya
Le Larraskito Kluba;Concierto;17/03/2018;Euskera / Espanyol;CLUB LE LARRASKITo (Carretera Rekalde-Larraskitu 33, 4º, Bilbao);Bilbao;Espanya
LE LARRASKITo KLUBA;Festivales (Gazteinformazioa);07/07/2018;Euskera / Espanyol;CLUB LE LARRASKITo. Carretera Rekalde-Larraskitu 33, 4º;Bilbao;Espanya
Le mepris;Proyeccion audiovisual;10/10/2018;Frances;Sala BBK;Bilbao;Espanya
Lectura continuada de clasicos 2018: Kresala;otros;07/06/2018;Euskera;Teatro Arriaga;Bilbao;Espanya
Lectura dramatizada de dos textos de Angelica Liddell;Teatro;25/05/2018;Espanyol;Pabellon 6;Bilbao;Espanya
Lectura dramatizada: Delicadas;otros;27/03/2018;Espanyol;Pabellon 6;Bilbao;Espanya
Lehman Trilogy;Teatro;20/10/2018;Espanyol;Teatro Arriaga;Bilbao;Espanya
Leioa Kantika Korala: Kaleido;Concierto;22/04/2018;Espanyol;Sala BBK;Bilbao;Espanya
Lekeitioak;Danza;18/03/2018;Espanyol;La Fundicion;Bilbao;Espanya
Lekuz Leku 2018 - Festival Internacional de Danza en Paisajes Urbanos;Festivales (Gazteinformazioa);22/06/2018;Espanyol;Paseo de Abandoibarra;Bilbao;Espanya
Lendakaris Muertos;Concierto;25/05/2018;Espanyol;Zorrotzako Gaztetxea;Bilbao;Espanya
Lendakaris Muertos + Zartako;Concierto;23/02/2018;Espanyol;Bilboko Kafe Antzokia;Bilbao;Espanya
LEnfance nue;Proyeccion audiovisual;29/08/2018;Frances;BilbaoArte;Bilbao;Espanya
LEntresort;Teatro;07/07/2018;Espanyol;Parque Donya Casilda;Bilbao;Espanya
LEntresort;Teatro;02/07/2018;Espanyol;Parque Donya Casilda;Bilbao;Espanya
LEntresort;Teatro;03/07/2018;Espanyol;Parque Donya Casilda;Bilbao;Espanya
LEntresort;Teatro;04/07/2018;Espanyol;Parque Donya Casilda;Bilbao;Espanya
LEntresort;Teatro;05/07/2018;Espanyol;Parque Donya Casilda;Bilbao;Espanya
LEntresort;Teatro;06/07/2018;Espanyol;Parque Donya Casilda;Bilbao;Espanya
Leonore Boulanger;Concierto;19/01/2018;Espanyol;AZ Azkuna Zentroa;Bilbao;Espanya
Les Filles de Illighadad;Concierto;28/02/2018;Espanyol;Bilboko Kafe Antzokia;Bilbao;Espanya
Les Irreels;Teatro;02/07/2018;Espanyol;Parque Donya Casilda;Bilbao;Espanya
Les Irreels;Teatro;03/07/2018;Espanyol;Parque Donya Casilda;Bilbao;Espanya
Les Irreels;Teatro;04/07/2018;Espanyol;Parque Donya Casilda;Bilbao;Espanya
Letras y Futbol 2018;Festivales (Gazteinformazioa);12/11/2018;Euskera / Espanyol;Biblioteca Foral de Bizkaia;Bilbao;Espanya
Libe;Concierto;08/06/2018;Euskera;Azkena;Bilbao;Espanya
Libe + MICE;Concierto;01/02/2018;Euskera;Bilboko Kafe Antzokia;Bilbao;Espanya
LIBRECoN 2018;otros;21/11/2018;Espanyol;Palacio Euskalduna;Bilbao;Espanya
Lichis;Concierto;10/03/2018;Espanyol;Cotton Club;Bilbao;Espanya
Liher;Concierto;08/03/2018;Euskera;Bilboko Kafe Antzokia;Bilbao;Espanya
Literatura: hay que leer de todo?, conferencia a cargo de Gurutze Beitia;Conferencia;03/10/2018;Euskera / Espanyol;Biblioteca Foral de Bizkaia;Bilbao;Espanya
LIVE DMA 2018 - Asamblea General de Salas de Concierto de Europa;otros;04/06/2018;Espanyol;Bilboko Kafe Antzokia;Bilbao;Espanya
Lluvia;Teatro;10/06/2018;Euskera;Teatro Campos Eliseos;Bilbao;Espanya
Lo mejor del pop: Cine con animacion en directo;Proyeccion audiovisual;20/01/2018;Espanyol;Teatro Campos Eliseos;Bilbao;Espanya
Lo Stato Sociale;Concierto;13/04/2018;Espanyol;Haceria Arteak;Bilbao;Espanya
Loie Fuller: Research;Danza;08/11/2018;Espanyol;AZ Azkuna Zentroa;Bilbao;Espanya
Loraldia 2018;Festivales (Gazteinformazioa);05/03/2018;Euskera;;Bilbao;Espanya
Loraldia 2019;Festivales (Gazteinformazioa);05/03/2018;Euskera;;Bilbao;Espanya
Loraldia Eskola (I): Gernikako bonbardaketa pastorala;Teatro;23/03/2018;Euskera;AZ Azkuna Zentroa;Bilbao;Espanya
Loraldia Eskola (II): 7 KANTU 7 LUR 7 KoNEXIo;Teatro;23/03/2018;Euskera;AZ Azkuna Zentroa;Bilbao;Espanya
Lorca, Dali, Bunyuel. Aborigenes;Teatro;02/03/2018;Espanyol;Pabellon 6;Bilbao;Espanya
Lorea oar-Arteta & Hector Rey + Leif Elggren;Concierto;07/02/2018;Espanyol;AZ Azkuna Zentroa;Bilbao;Espanya
Lorea oar-Arteta + Hector Rey;Concierto;25/04/2018;Espanyol;BilbaoArte;Bilbao;Espanya
Lori Meyers;Concierto;01/11/2018;Ingles;Bilboko Kafe Antzokia;Bilbao;Espanya
Los Blues Morning Singers;Concierto;08/06/2018;Ingles;Bilboko Kafe Antzokia;Bilbao;Espanya
Los Brazos;Concierto;12/05/2018;Espanyol;Bilboko Kafe Antzokia;Bilbao;Espanya
Los Coronas;Concierto;16/03/2018;Espanyol;Bilboko Kafe Antzokia;Bilbao;Espanya
Los Cosmeticos + Purple Vellocet;Concierto;25/05/2018;Euskera;Museo Maritimo Ria de BIlbao - (Sala nave 9 (Museo Maritimo Ria de BIlbao));Bilbao;Espanya
Los cuentos de las criadas (maternidades y literatura);Curso-taller;06/02/2018;Espanyol;Biblioteca Foral de Bizkaia;Bilbao;Espanya
Los gondoleros o el rey de Barataria;Concierto;15/06/2018;Espanyol;Conservatorio de Musica Juan Crisostomo de Arriaga;Bilbao;Espanya
Los impresentables;Teatro;08/02/2018;Espanyol;Centro Municipal de San Francisco;Bilbao;Espanya
Los Punsetes;Concierto;10/03/2018;Espanyol;Museo Maritimo Ria de BIlbao;Bilbao;Espanya
Los que dan y los que no, exposicion de Ana Escar;Exposicion;24/09/2018;Espanyol;Espacio Aerre;Bilbao;Espanya
Los Secretos;Concierto;29/06/2018;Espanyol;Palacio Euskalduna;Bilbao;Espanya
Los universos paralelos;Teatro;09/03/2018;Espanyol;Teatro Campos Eliseos;Bilbao;Espanya
Los visitantes;Teatro;02/02/2018;Espanyol;Teatro Arriaga;Bilbao;Espanya
Loulogio: The Last Batamanta;Teatro;16/03/2018;Espanyol;Teatro Campos Eliseos;Bilbao;Espanya
Love of Lesbian: E&E. Espejos y Espejismos;Concierto;29/11/2018;Espanyol;Teatro Campos Eliseos;Bilbao;Espanya
Lucchettino Classic (suspendido);Teatro;02/03/2018;Italiano;Centro Municipal de Rekalde;Bilbao;Espanya
Lucia Rey Trio + Jam session;Concierto;17/03/2018;Espanyol;Haceria Arteak;Bilbao;Espanya
Lugar, exposicion de Fermin Moreno Martin;Exposicion;28/09/2018;Espanyol;Espacio Marzana;Bilbao;Espanya
Luis Piedrahita: Las amigdalas de mis amigdalas son mis amigdalas;Teatro;26/10/2018;Espanyol;Teatro Campos Eliseos;Bilbao;Espanya
Lukiek;Concierto;06/09/2018;Euskera;Shake! Ibanyez de Bilbao, 2;Bilbao;Espanya
Lumière! Laventure commence;Proyeccion audiovisual;20/03/2018;Espanyol;Salon El Carmen;Bilbao;Espanya
Lunaticos;Concierto;12/05/2018;Espanyol;Cotton Club;Bilbao;Espanya
Lur-Ikara Kabaret;Teatro;02/06/2018;Espanyol;Pabellon 6;Bilbao;Espanya
Luz Casal;Concierto;29/09/2018;Espanyol;Palacio Euskalduna;Bilbao;Espanya
Lyceum Club;Teatro;18/05/2018;Espanyol;Pabellon 6;Bilbao;Espanya
Lyceum Club;Teatro;08/03/2018;Espanyol;Bizkaia Aretoa;Bilbao;Espanya
Lyceum Club;Teatro;05/03/2018;Espanyol;Bizkaia Aretoa;Bilbao;Espanya
Lytos;Concierto;21/09/2018;Espanyol;Cotton Club;Bilbao;Espanya
Mabu;Concierto;03/03/2018;Espanyol;Teatro Campos Eliseos;Bilbao;Espanya
Mabu: Buenaventura;Presentacion;09/02/2018;Espanyol;Fnac (Bilbao);Bilbao;Espanya
Madagascar - El musical en vivo (Cancelado);Actividad infantil;27/12/2018;Espanyol;Palacio Euskalduna;Bilbao;Espanya
Maddi eta txalaparta;Actividad infantil;12/03/2018;Euskera;Euskararen Etxea - Azkue Fundazioa;Bilbao;Espanya
Maddi eta txalaparta;Actividad infantil;24/02/2018;Euskera;Centro Municipal de Deusto;Bilbao;Espanya
Maddi eta txistua;Actividad infantil;11/04/2018;Euskera;Centro Municipal de Rekalde;Bilbao;Espanya
Maddi eta txistua;Actividad infantil;13/03/2018;Euskera;Centro Municipal de Begonya;Bilbao;Espanya
Maddi oihenart eta Jeremie Garat: Doi;otros;16/10/2018;Euskera;Teatro Arriaga;Bilbao;Espanya
Madiber Magoa: Magia eta dibertsioa;Actividad infantil;15/03/2018;Euskera;Juan Delmas ikastetxea. Zamakola, 174;Bilbao;Espanya
Magic Spectacular;Teatro;16/11/2018;Espanyol;Teatro Campos Eliseos;Bilbao;Espanya
Maider Galarza: Maleta kontuak;Actividad infantil;25/04/2018;Euskera;Biblioteca de Bilbao (otxarkoaga);Bilbao;Espanya
Maider Galarza: Maleta kontuak;Actividad infantil;25/04/2018;Euskera;Biblioteca de Bilbao (otxarkoaga);Bilbao;Espanya
Makarrafesta 2018;otros;24/02/2018;Espanyol;Garabia ZAWP;Bilbao;Espanya
Malda eta Zorrotz;Actividad infantil;31/10/2018;Euskera;BIRA KULTUR GUNEA (BIBA!);Bilbao;Espanya
Mami Lebrun;Teatro;03/12/2018;Euskera;Teatro Arriaga;Bilbao;Espanya
Mammane Sani Trio;Concierto;23/01/2018;Espanyol;Bilboko Kafe Antzokia;Bilbao;Espanya
Mandingo;Proyeccion audiovisual;12/12/2018;Espanyol;AZ Azkuna Zentroa;Bilbao;Espanya
Manel Fuentes & The Spring Team Band;Concierto;30/11/2018;Espanyol;RockStar Bilbao;Bilbao;Espanya
MANEZ eta Kobreak;Concierto;28/03/2018;Euskera;AZ Azkuna Zentroa;Bilbao;Espanya
Manon;Teatro;20/01/2018;Espanyol;Palacio Euskalduna;Bilbao;Espanya
Manoviva y Antipodi;Actividad infantil;23/11/2018;Espanyol;Lateral del Teatro Arriaga;Bilbao;Espanya
Mapping para artistas, taller a cargo de Blanca ortiga;Curso-taller;05/02/2018;Espanyol;BilbaoArte;Bilbao;Espanya
Maraton rock de jovenes bandas;Concierto;13/01/2018;Espanyol;Bilborock;Bilbao;Espanya
Marco Mezquida Trio;Concierto;05/04/2018;Espanyol;Hotel Conde Duque;Bilbao;Espanya
Maren;Concierto;28/04/2018;Espanyol;Cotton Club;Bilbao;Espanya
Mari eta Gaileta Fabrika;Actividad infantil;25/11/2018;Euskera;Pabellon 6;Bilbao;Espanya
Maria Jose Hernandez;Concierto;26/05/2018;Espanyol;Cotton Club;Bilbao;Espanya
Maria Jose Llergo;Concierto;09/03/2018;Espanyol;AZ Azkuna Zentroa;Bilbao;Espanya
Maria Molina Grupo: De la sierra a la ria;Concierto;08/09/2018;Espanyol;Tinglados del arenal;Bilbao;Espanya
Maria Toro 4tet;Concierto;15/06/2018;Espanyol;Sala BBK;Bilbao;Espanya
Maribel Salas: No os lo vais a creer;Teatro;30/09/2018;Espanyol;Gran Casino Bilbao;Bilbao;Espanya
Marilia;Concierto;24/05/2018;Espanyol;Cotton Club;Bilbao;Espanya
Markos Untzeta (cancelado);Concierto;01/06/2018;Euskera;Cotton Club;Bilbao;Espanya
Marlango;Concierto;18/10/2018;Espanyol;Bilboko Kafe Antzokia;Bilbao;Espanya
Marmol + Columna;Concierto;22/04/2018;Euskera;Xake espazioa (Bilbi);Bilbao;Espanya
Marmol + La Santa Espina + Endora y sus Vicios;Concierto;23/06/2018;Espanyol;Bilbiko plaza;Bilbao;Espanya
Marraka ta marraka;Teatro;12/05/2018;Espanyol;San Frantzisko (Mariaren Bihotza plaza);Bilbao;Espanya
Marta Macho: La Cocina de la ciencia, los aportes de las mujeres;Conferencia;10/10/2018;Espanyol;Sala de Exposiciones ondare;Bilbao;Espanya
Marta Pereira da Costa;Concierto;23/05/2018;Espanyol;Sala BBK;Bilbao;Espanya
Martha Reeves & The Vandellas;Concierto;08/03/2018;Ingles;Sala BBK;Bilbao;Espanya
Martinaren Parke Fantastikoa;Actividad infantil;28/12/2018;Euskera;AZ Azkuna Zentroa;Bilbao;Espanya
Maruja Limon (cancelado);Concierto;19/10/2018;Espanyol;Cotton Club;Bilbao;Espanya
Marx lo hizo;Teatro;21/10/2018;Espanyol;Haceria Arteak;Bilbao;Espanya
Marx lo hizo;Teatro;14/10/2018;Espanyol;Haceria Arteak;Bilbao;Espanya
Mas vale solo que ciento volando;Teatro;05/05/2018;Espanyol;Teatro Campos Eliseos;Bilbao;Espanya
Masa;Danza;27/10/2018;Espanyol;Teatro Campos Eliseos;Bilbao;Espanya
Masha y el oso: Rescate en el circo;Actividad infantil;29/12/2018;Espanyol;Palacio Euskalduna;Bilbao;Espanya
Master class a cargo del violonchellista Guillermo Pastresana;Curso-taller;20/11/2018;Espanyol;Conservatorio de Musica Juan Crisostomo de Arriaga;Bilbao;Espanya
Master class: Co-creacion de trabajo politico - artistico (ARTivismo) entre el sur y el norte;Curso-taller;05/10/2018;Ingles;Harrobia Eskena, Centro de Innovacion en Produccion Escenica de Bilbao-otxarkoaga;Bilbao;Espanya
Master Profesional en Innovacion Audiovisual (INNAV) - Mondragon Unibertsitatea;Curso-taller;10/09/2018;Espanyol;BBF - Bilbao Berrikuntza Faktoria;Bilbao;Espanya
Masterclass Flamenco;Curso-taller;21/09/2018;Espanyol;BilbaoMusika;Bilbao;Espanya
Masterclass sobre los decorados de Los amantes pasajeros;Curso-taller;16/02/2018;Espanyol;Centro Municipal de Ibaiondo (Palacio Yohn - La Bolsa);Bilbao;Espanya
Masterclass: Aran Calleja;Curso-taller;30/11/2018;Espanyol;AZ Azkuna Zentroa;Bilbao;Espanya
Master-class: Ensemble Kuraia;Curso-taller;01/12/2018;Espanyol;Conservatorio de Musica Juan Crisostomo de Arriaga;Bilbao;Espanya
Masters of Rock XL: Tributo a Metallica + Guns n Roses + ACDC + Iron Maiden;Concierto;27/10/2018;Ingles;Bilboko Kafe Antzokia;Bilbao;Espanya
Mastodonte (Asier Etxeandia + Enrico Barbarao): Anatomia de un exodo;Teatro;29/11/2018;Ingles;Bilboko Kafe Antzokia;Bilbao;Espanya
Matias Aguayo + Les Alsborregach;Concierto;14/09/2018;Espanyol;Bilboko Kafe Antzokia;Bilbao;Espanya
